Nom de fichier	Chemin	voyageId	Pays	Ville	Lieu	Date Événement	datePage	Légende
0087_5.13.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0087_5.13.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0088_5.12.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0088_5.12.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0089_5.11.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0089_5.11.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0090_7A.3.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0090_7A.3.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0091_7A.4.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0091_7A.4.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0092_7A.5.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0092_7A.5.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0093_5.10.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0093_5.10.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0094_5.9.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0094_5.9.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0095_5.8.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0095_5.8.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0096_7A.6.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0096_7A.6.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0097_7A.7.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0097_7A.7.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0098_7A.8.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0098_7A.8.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0099_7A.9.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0099_7A.9.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0100_7A.10.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0100_7A.10.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0101_7A.11.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-12\0101_7A.11.jpg	jordanie20010205	Jordanie	Wadi Rum	-	12/02/2001	-	-
0102_7A.12.jpg	D:\TDM\0001_jordanie20010205\0008_Wadi Rum\2001-02-13\0102_7A.12.jpg	jordanie20010205	Jordanie	Wadi Rum	-	13/02/2001	-	-
0103_5.7.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0103_5.7.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Le Siq - le canyon
0104_7A.13.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0104_7A.13.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	-
0105_5.6.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0105_5.6.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Le Trésor du Pharaon
